AI GTM Platform Development Plan,,,,,,,,,,,,,,,,,
SETUP,Date,Day,Module,Task Name,Task Description,Acceptance Criteria,Assigned To,Status,Completed On,Blockers / Notes,,,,,,,
1,15-Jun-26,Day 1,Project Init,Repo & Folder Structure,"Create Git repository with branching strategy (main/dev/feature). Set up project folder structure with separate folders: /frontend, /backend, /lead-discovery, /campaigns, /ai-calling, /crm, /analytics, /settings.",Repo accessible to both devs. Folder structure matches BRD module map. README with setup instructions committed.,Ammar,? Done,18/06/2026, ,,,,,,,
2,15-Jun-26,Day 1,Project Init,React Frontend Scaffold,"Initialize React app (Vite/CRA), install core dependencies (React Router, Axios, TailwindCSS or chosen UI lib), configure ESLint, Prettier, and commit base layout component.",React dev server runs on localhost:3000. Router configured with placeholder routes for all modules.,Raj,? Done,18/06/2026, ,,,,,,,
3,15-Jun-26,Day 1,Project Init,FastAPI Backend Scaffold,"Initialize FastAPI project, install dependencies (SQLAlchemy, Alembic, Pydantic, python-dotenv, uvicorn), create /api/v1 router structure with placeholder endpoints for each module.",FastAPI server runs on localhost:8000. /api/v1/health returns 200.,Ammar,? Done,18/06/2026, ,,,,,,,
4,15-Jun-26,Day 1,Project Init,PostgreSQL Database Setup,"Provision PostgreSQL instance (local Docker), create development database, configure connection string in .env, verify Alembic can connect and run migrations.",DB running. Alembic init migration runs without error. Connection verified from FastAPI.,Raj,? Done,18/06/2026, ,,,,,,,
5,15-Jun-26,Day 1,Project Init,Docker Configuration,"Write docker-compose.yml with services for frontend (Node), backend (Python), PostgreSQL, and optional Redis for queue. Set up .env.example with all required environment variable keys.",docker-compose up --build starts all services. Frontend and backend connect to DB through Docker network.,Ammar,? Done,18/06/2026, ,,,,,,,
6,15-Jun-26,Day 1,Project Init,Coding Standards & CI Setup,"Document coding standards (naming conventions, file structure, commit message format). Set up GitHub Actions or equivalent CI pipeline to run linting and tests on every PR.",CODING_STANDARDS.md committed. CI pipeline runs on PR and passes for skeleton code.,Raj,? Done,18/06/2026, ,,,,,,,
7,16-Jun-26,Day 2,Auth,User Registration API,"POST /api/v1/auth/register — validate email uniqueness, hash password (bcrypt), create user record with default role='user', return 201 with user_id.",Register returns 201 for valid input. Returns 409 for duplicate email. Password not stored in plain text.,Ammar,? Done, 22/06/2026, ,,,,,,,
8,16-Jun-26,Day 2,Auth,Login & JWT Token API,"POST /api/v1/auth/login — verify credentials, issue access token (15min) + refresh token (7 days) as HTTP-only cookies. Token payload includes user_id and role.",Valid credentials return 200 with tokens. Invalid returns 401. Tokens decode correctly with correct payload.,Ammar,? Done, 22/06/2026, ,,,,,,,
9,16-Jun-26,Day 2,Auth,JWT Middleware & Protected Routes,Create FastAPI dependency that validates access token on protected endpoints. Create React PrivateRoute component that redirects unauthenticated users to /login.,Protected API endpoint returns 401 without token. React app redirects to login if no token found.,Raj,? Done, 22/06/2026, ,,,,,,,
10,16-Jun-26,Day 2,Auth,Role Management,Define roles: 'user' and 'admin'. Add role-check decorator/dependency for admin-only endpoints. Admin users can view all users; regular users see only their own data.,Admin endpoint returns 403 for non-admin JWT. Role visible in decoded token.,Ammar,? Done, 22/06/2026, ,,,,,,,
11,16-Jun-26,Day 2,Auth,Forgot Password & Reset Flow,"POST /auth/forgot-password — generate time-limited reset token, send email link. POST /auth/reset-password — validate token, update hashed password, invalidate token.",Reset email sent (or logged in dev mode). Token expires after 1 hour. Password updated successfully on valid token.,Raj,? Done, 22/06/2026, ,,,,,,,
12,16-Jun-26,Day 2,Auth,Frontend Auth UI (Login / Register),"Build /login and /register pages with form validation, error display, and redirect to dashboard on success. Store tokens and handle token refresh.","User can register, log in, and land on /dashboard. Error messages visible for invalid inputs.",Raj,? Done, 22/06/2026, ,,,,,,,
